State,Station,Note,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2005
Alabama,"Anniston, Alabama",,"2,486","1,948","2,369","4,244","3,833","4,255","4,871","5,085","5,200","5,835","6,209","6,694","5,955","2,419"
Alabama,"Atmore, Alabama",,,,,,,,,,,,,,,115
Alabama,"Birmingham, Alabama",,"21,211","14,935","17,474","37,605","40,585","42,512","42,930","44,985","46,610","48,759","48,734","48,196","45,089","16,558"
Alabama,"Mobile, Alabama",,,,,,,,,,,,,,,570
Alabama,"Tuscaloosa, Alabama",,"5,389","3,720","4,871","9,323","10,228","10,571","10,594","10,922","11,360","11,598","12,290","12,032","12,533","4,904"
Arizona,"Benson, Arizona",,"1,743","1,224","1,218","1,947","1,939","2,036","2,013","2,073","1,961","1,833","1,367","1,208","1,091",537
Arizona,"Flagstaff, Arizona",,"25,499","16,693","20,981","43,453","43,421","39,803","41,053","40,800","39,183","40,390","41,014","41,252","41,775","17,370"
Arizona,"Kingman, Arizona",,"6,919","4,567","5,536","8,691","9,065","9,944","9,904","10,794","9,765","10,523","10,768","10,944","10,160","3,142"
Arizona,"Maricopa, Arizona",,"10,520","8,251","7,843","11,194","11,744","11,849","11,250","12,162","12,729","12,945","10,804","9,819","8,764","3,023"
Arizona,"Tucson, Arizona",,"19,115","14,567","15,715","25,695","28,183","29,146","27,301","28,682","27,917","25,921","23,896","23,340","21,095","6,880"
Arizona,"Williams Junction, Arizona",,,,,,,"9,672","8,051","6,738","6,025","6,944","7,487","7,646","7,642","2,889"
Arizona,"Williams Junction, Arizona",Service discontinued as of 1/1/18,,,,,"2,032",,,,,,,,,
Arizona,"Winslow, Arizona",,"2,652","1,773","2,437","4,371","4,345","4,187","4,481","5,074","4,428","4,625","5,034","5,399","5,274","1,378"
Arizona,"Yuma, Arizona",,"4,403",,"3,366","4,285","4,525","4,605","4,576","4,296","3,772","3,891","4,011","3,386","3,676",877
Arkansas,"Arkadelphia, Arkansas",,956,587,811,"1,389","1,433","1,390","1,177","1,308","1,527","1,787","1,602","1,574","1,486",481
Arkansas,"Hope, Arkansas",,"1,322",779,"1,013","1,579","1,650","1,691","1,608","1,612","1,911","1,310",,,,
Arkansas,"Little Rock, Arkansas",,"13,492","8,439","10,538","17,755","19,406","20,574","18,333","19,676","19,652","22,351","24,036","23,336","22,218","7,290"
Arkansas,"Malvern, Arkansas",,"1,558",878,"1,038","1,598","1,693","1,688","1,729","1,760","1,896","2,101","2,105","1,750","1,833",779
Arkansas,"Texarkana, Arkansas",,"4,814","3,135","3,420","5,214","6,133","6,231","6,207","6,894","7,853","8,903","8,849","8,646","7,867","2,983"
Arkansas,"Walnut Ridge, Arkansas",,"2,340","1,565","1,975","2,878","3,421","3,486","3,345","3,738","4,046","4,731","4,766","4,311","4,565","1,343"
California,"Anaheim, California",,"158,796","71,651","112,054","239,471","281,379","287,415","282,700","270,819","254,066","342,284","358,810","352,363","331,666","157,609"
California,"Antioch-Pittsburg, California",,"24,262","19,035","22,331","34,615","35,345","38,103","39,995","43,217","43,231","43,953","39,001","34,794","34,417","9,455"
California,"Auburn, California",,"5,357","1,587","6,730","15,325","14,243","13,352","15,732","14,779","16,383","49,686","28,396","29,438","31,092","16,707"
California,"Bakersfield, California",,"314,684","196,791","250,609","424,157","442,023","482,276","491,824","513,884","521,423","546,439","507,058","476,767","413,172","185,089"
California,"Barstow, California",,"1,959","1,567","2,457","3,112","3,400","3,509","3,153","3,463","3,096","3,586","3,433","3,870","3,609","1,380"
California,"Berkeley, California",,"57,302","25,999","83,958","174,656","173,579","156,226","150,636","136,997","133,855","153,080","152,096","142,510","133,152","35,444"
California,"Burbank, California",,"43,671","20,653","32,607","63,749","62,478","73,814","68,918","67,924","60,685","51,998","47,217","47,928","41,997","14,050"
California,"Camarillo, California",,"31,862","11,807","27,819","53,219","54,252","54,582","52,310","51,831","46,120","39,634","37,393","36,686","33,165","9,696"
California,"Carlsbad Poinsettia, California",,,,,,,"10,074","10,556","9,363","5,977",0,,,,
California,"Carlsbad Poinsettia, California","Service ended on 10/9/17, during Fiscal 2018",,,,,120,,,,,,,,,
California,"Carlsbad Village, California",,,,,,"9,904","14,522","14,843","13,455","8,030",0,,,,
California,"Carlsbad Village, California",Service ended 10/8/18 within FY19.,,,,160,,,,,,,,,,
California,"Carpinteria, California",,"15,883","9,242","15,585","32,597","49,813","32,701","30,762","29,461","28,628","25,496","20,587","20,064","20,149","7,048"
California,"Chatsworth, California",,"38,654","17,752","28,853","62,464","62,354","72,278","71,133","72,132","63,980","56,493","52,543","52,401","49,178","19,828"
California,"Chico, California",,"7,625","3,383","7,544","10,580","10,414","12,154","13,144","13,736","13,125","12,875","11,009","9,843","10,067","2,862"
California,"Colfax, California",,"3,753","2,034","3,370","5,845","5,658","7,035","6,277","4,631","4,810","4,479","4,377","4,036","4,322","1,622"
California,"Corcoran, California",,"14,964","9,951","17,610","26,789","24,646","28,440","30,104","32,331","34,539","31,542","29,072","27,424","27,375","11,745"
California,"Davis, California",,"163,636","70,194","194,029","380,034","390,060","375,626","379,073","372,554","358,350","424,114","445,416","443,168","409,611","171,637"
California,"Dunsmuir, California",,"3,496","2,160","3,680","5,178","4,654","5,330","5,958","6,166","5,892","5,912","5,385","5,370","4,879","1,989"
